%time,field.steer,field.throttle,field.brake,field.handbrake,field.clutch,field.manual_gear,field.automatic_gear
237292000000,0.491103857755661,0.9414568543434143,0.0,0.0,0.0,0,4
237352000000,0.45752376317977905,0.9503369331359863,0.0,0.0,0.0,0,4
237476000000,0.57325279712677,0.9105543494224548,0.0,0.0,0.0,0,4
237512000000,0.6362079977989197,0.9446014165878296,0.0,0.0,0.0,0,4
237600000000,0.673862636089325,0.8718084096908569,0.0,0.0,0.0,0,4
237696000000,0.6839778423309326,0.8903563618659973,0.0,0.0,0.0,0,4
237808000000,0.7073753476142883,0.8858520984649658,0.0,0.0,0.0,0,4
237888000000,0.7886450886726379,0.8722369074821472,0.0,0.0,0.0,0,4
238020000000,0.830479621887207,0.8528713583946228,0.0,0.0,0.0,0,4
238100000000,0.8529139757156372,0.8927916288375854,0.0,0.0,0.0,0,4
238200000000,0.8831565380096436,0.7867905497550964,0.0,0.0,0.0,0,4
238328000000,0.8474281430244446,0.8458996415138245,0.0,0.0,0.0,0,4
238424000000,0.7232130765914917,0.8546881675720215,0.0,0.0,0.0,0,4
238548000000,0.5935006141662598,0.984926164150238,0.0,0.0,0.0,0,4
238580000000,0.5987809300422668,0.9237681031227112,0.0,0.0,0.0,0,4
238672000000,0.6018151640892029,0.9465891122817993,0.0,0.0,0.0,0,4
238764000000,0.5765305161476135,0.8254792094230652,0.0,0.0,0.0,0,4
238796000000,0.48690271377563477,0.9339883327484131,0.0,0.0,0.0,0,4
238872000000,0.4625520706176758,0.9298603534698486,0.0,0.0,0.0,0,4
238988000000,0.3763778805732727,0.816998302936554,0.0,0.0,0.0,0,4
239112000000,0.28259286284446716,0.8814955949783325,0.0,0.0,0.0,0,4
239172000000,0.1569162905216217,0.7036949992179871,0.0,0.0,0.0,0,4
239268000000,0.033148035407066345,0.9563612341880798,0.0,0.0,0.0,0,4
239392000000,0.13264697790145874,0.9092409610748291,0.0,0.0,0.0,0,4
239524000000,0.04096261039376259,0.7289566993713379,0.0,0.0,0.0,0,4
239584000000,0.08743423223495483,0.502168595790863,0.0,0.0,0.0,0,4
239680000000,0.149495929479599,0.3016902506351471,0.0,0.0,0.0,0,4
239780000000,0.14932572841644287,0.4852643609046936,0.0,0.0,0.0,0,4
239904000000,0.06941608339548111,0.6660022139549255,0.0,0.0,0.0,0,4
240028000000,0.004794463515281677,0.5873615145683289,0.0,0.0,0.0,0,4
240096000000,-0.02134907804429531,0.5892701745033264,0.0,0.0,0.0,0,4
240180000000,-0.14489035308361053,0.5805194973945618,0.0,0.0,0.0,0,4
240280000000,-0.20310078561306,0.5805959701538086,0.0,0.0,0.0,0,4
240404000000,-0.24427472054958344,0.5100123882293701,0.0,0.0,0.0,0,4
240500000000,-0.2514486312866211,0.5004035830497742,0.0,0.0,0.0,0,4
240592000000,-0.2337568700313568,0.4756486117839813,0.0,0.0,0.0,0,4
240716000000,-0.19522668421268463,0.4990703761577606,0.0,0.0,0.0,0,4
240816000000,-0.14838211238384247,0.3945588171482086,0.0,0.0,0.0,0,4
240904000000,-0.06340286135673523,0.3421972095966339,0.0,0.0,0.0,0,4
240996000000,-0.03416640684008598,0.24186129868030548,0.0,0.0,0.0,0,4
241096000000,-0.014926531352102757,0.25023412704467773,0.0,0.0,0.0,0,4
241224000000,-0.025343839079141617,0.19707582890987396,0.0,0.0,0.0,0,4
241316000000,0.02400132641196251,0.17675912380218506,0.0,0.0,0.0,0,4
241400000000,0.021030643954873085,0.15521110594272614,0.0,0.0,0.0,0,4
241528000000,0.02970711514353752,0.1504049152135849,0.0,0.0,0.0,0,4
241660000000,0.03284604847431183,0.12306397408246994,0.0,0.0,0.0,0,4
241728000000,0.023533521220088005,0.13915905356407166,0.0,0.0,0.0,0,4
241808000000,0.0470522940158844,0.16259939968585968,0.0,0.0,0.0,0,4
241908000000,0.07623438537120819,0.1367340236902237,0.0,0.0,0.0,0,4
242068000000,0.10997416824102402,0.07111644744873047,0.0,0.0,0.0,0,4
242156000000,0.047550905495882034,0.03539782389998436,0.0,0.0,0.0,0,4
242192000000,0.0651923418045044,0.0,0.009738851338624954,0.0,0.0,0,4
242296000000,0.05552856996655464,0.0,0.04716752469539642,0.0,0.0,0,4
242372000000,0.04519427567720413,0.0,0.13348665833473206,0.0,0.0,0,4
242464000000,0.01680971495807171,0.0,0.21337363123893738,0.0,0.0,0,4
242588000000,0.03075508028268814,0.0,0.23437614738941193,0.0,0.0,0,4
242688000000,0.015369497239589691,0.0,0.2261074185371399,0.0,0.0,0,4
242784000000,-0.0090453727170825,0.0,0.25554537773132324,0.0,0.0,0,4
242904000000,-0.03699128329753876,0.0,0.34025058150291443,0.0,0.0,0,4
242996000000,-0.04273264855146408,0.0,0.3852153420448303,0.0,0.0,0,4
243096000000,-0.03999105095863342,0.0,0.36914175748825073,0.0,0.0,0,4
243220000000,-0.025752916932106018,0.0,0.3048563599586487,0.0,0.0,0,4
243316000000,-0.038012273609638214,0.0,0.272525817155838,0.0,0.0,0,4
243404000000,-0.03798944130539894,0.0,0.28499919176101685,0.0,0.0,0,4
243496000000,-0.04173282906413078,0.0,0.25291210412979126,0.0,0.0,0,4
243596000000,-0.03502153605222702,0.0,0.2387687861919403,0.0,0.0,0,4
243720000000,-0.038922470062971115,0.0,0.202086940407753,0.0,0.0,0,4
243848000000,-0.039059098809957504,0.0,0.21141304075717926,0.0,0.0,0,4
243872000000,-0.05136293172836304,0.0,0.2219746708869934,0.0,0.0,0,4
243972000000,-0.032140251249074936,0.0,0.21922184526920319,0.0,0.0,0,4
244096000000,-0.02465730905532837,0.0,0.23074813187122345,0.0,0.0,0,4
244164000000,-0.018121520057320595,0.0,0.2531556785106659,0.0,0.0,0,4
244292000000,-0.019193243235349655,0.0,0.25875598192214966,0.0,0.0,0,4
244372000000,-0.02176753059029579,0.0,0.2739167809486389,0.0,0.0,0,4
244472000000,-0.026399390771985054,0.0,0.2671505808830261,0.0,0.0,0,4
244600000000,-0.024903547018766403,0.0,0.27489402890205383,0.0,0.0,0,4
244724000000,-0.029826102778315544,0.0,0.273458331823349,0.0,0.0,0,4
244756000000,-0.0,0.0,0.5,0.0,0.0,0,4
244788000000,-0.0,0.0,0.5,0.0,0.0,0,4
244816000000,-0.0,0.0,0.5,0.0,0.0,0,4
244876000000,-0.0,0.0,0.5,0.0,0.0,0,4
244900000000,-0.0,0.0,0.5,0.0,0.0,0,4
244936000000,-0.0,0.0,0.5,0.0,0.0,0,4
245000000000,-0.0,0.0,0.5,0.0,0.0,0,4
245028000000,-0.0,0.0,0.5,0.0,0.0,0,4
245060000000,-0.0,0.0,0.5,0.0,0.0,0,4
245128000000,-0.0,0.0,0.5,0.0,0.0,0,4
245152000000,-0.0,0.0,0.5,0.0,0.0,0,4
245184000000,-0.0,0.0,0.5,0.0,0.0,0,4
245240000000,-0.0,0.0,0.5,0.0,0.0,0,4
245252000000,-0.0,0.0,0.5,0.0,0.0,0,4
245276000000,-0.0,0.0,0.5,0.0,0.0,0,4
245316000000,-0.0,0.0,0.5,0.0,0.0,0,4
245376000000,-0.0,0.0,0.5,0.0,0.0,0,2
247384000000,0.09189264476299286,0.2666666507720947,0.0,0.0,0.0,0,4
247484000000,-0.0414406955242157,0.5333333015441895,0.0,0.0,0.0,0,4
247608000000,-0.09501322358846664,0.26669421792030334,0.0,0.0,0.0,0,4
247636000000,-0.014917552471160889,0.5276914834976196,0.0,0.0,0.0,0,4
247748000000,0.11692708730697632,0.7938294410705566,0.0,0.0,0.0,0,4
247824000000,0.19337336719036102,0.9875701069831848,0.0,0.0,0.0,0,4
247924000000,0.20767760276794434,0.9377427697181702,0.0,0.0,0.0,0,4
248052000000,0.18503202497959137,0.9863371253013611,0.0,0.0,0.0,0,4
248152000000,0.25975432991981506,0.9831029176712036,0.0,0.0,0.0,0,4
248232000000,0.3366680443286896,0.9848063588142395,0.0,0.0,0.0,0,4
248324000000,0.43480485677719116,0.9976177215576172,0.0,0.0,0.0,0,4
248424000000,0.5219070911407471,0.9769299030303955,0.0,0.0,0.0,0,4
248548000000,0.628498375415802,0.8587893843650818,0.0,0.0,0.0,0,4
248676000000,0.7357581257820129,0.8267688155174255,0.0,0.0,0.0,0,4
248736000000,0.8291139006614685,0.7629711031913757,0.0,0.0,0.0,0,4
248836000000,0.7279970645904541,0.9537559747695923,0.0,0.0,0.0,0,4
248964000000,0.7483612298965454,0.8238943815231323,0.0,0.0,0.0,0,4
248988000000,0.8037583827972412,0.906657338142395,0.0,0.0,0.0,0,4
249088000000,0.8085411787033081,0.877460241317749,0.0,0.0,0.0,0,4
249212000000,0.8241077065467834,0.8749586343765259,0.0,0.0,0.0,0,4
249240000000,0.7939879298210144,0.915742039680481,0.0,0.0,0.0,0,4
249336000000,0.819645881652832,0.8341545462608337,0.0,0.0,0.0,0,4
249464000000,0.7284336090087891,0.8710988759994507,0.0,0.0,0.0,0,4
249492000000,0.6544785499572754,0.7434304356575012,0.0,0.0,0.0,0,4
249616000000,0.6037680506706238,0.6975615620613098,0.0,0.0,0.0,0,4
249712000000,0.5119348764419556,0.7772212624549866,0.0,0.0,0.0,0,4
249804000000,0.4572504460811615,0.7768834233283997,0.0,0.0,0.0,0,4
249872000000,0.4215219020843506,0.786994457244873,0.0,0.0,0.0,0,4
249996000000,0.322941392660141,0.792241632938385,0.0,0.0,0.0,0,4
250120000000,0.29450201988220215,0.6893916726112366,0.0,0.0,0.0,0,4
250216000000,0.22537381947040558,0.6842944025993347,0.0,0.0,0.0,0,4
250276000000,0.197064608335495,0.6445287466049194,0.0,0.0,0.0,0,4
250376000000,0.16518591344356537,0.6648664474487305,0.0,0.0,0.0,0,4
250500000000,0.13847234845161438,0.6135994791984558,0.0,0.0,0.0,0,4
250628000000,0.08330755680799484,0.5436894297599792,0.0,0.0,0.0,0,4
250700000000,0.04927956685423851,0.4101499319076538,0.0,0.0,0.0,0,4
250812000000,0.023996632546186447,0.3766782283782959,0.0,0.0,0.0,0,4
250900000000,0.007858227007091045,0.39603522419929504,0.0,0.0,0.0,0,4
251000000000,-0.01600535959005356,0.31918027997016907,0.0,0.0,0.0,0,4
251128000000,0.0042029935866594315,0.3168178200721741,0.0,0.0,0.0,0,4
251188000000,0.004199644550681114,0.2834005653858185,0.0,0.0,0.0,0,4
251312000000,-0.005273370072245598,0.19261127710342407,0.0,0.0,0.0,0,4
251404000000,-0.004578316584229469,0.1517954021692276,0.0,0.0,0.0,0,4
251536000000,-0.13372166454792023,0.15174464881420135,0.0,0.0,0.0,0,4
251664000000,-0.25332894921302795,0.2230248898267746,0.0,0.0,0.0,0,4
251720000000,-0.28428658843040466,0.18562687933444977,0.0,0.0,0.0,0,4
251812000000,-0.32397976517677307,0.17181387543678284,0.0,0.0,0.0,0,4
251920000000,-0.210044726729393,0.05679380148649216,0.0,0.0,0.0,0,4
252036000000,-0.08637780696153641,0.0,0.0956471860408783,0.0,0.0,0,4
252160000000,0.04307461157441139,0.0,0.09220560640096664,0.0,0.0,0,4
252184000000,0.13029973208904266,0.0,0.13143068552017212,0.0,0.0,0,4
252284000000,0.16995693743228912,0.0,0.24360507726669312,0.0,0.0,0,4
252408000000,0.2294643223285675,0.0,0.3666377067565918,0.0,0.0,0,4
252516000000,0.25460660457611084,0.0,0.4807392656803131,0.0,0.0,0,4
252588000000,0.2939990162849426,0.0,0.5347442030906677,0.0,0.0,0,4
252704000000,0.2784254550933838,0.0,0.5339205265045166,0.0,0.0,0,4
252780000000,0.2750040888786316,0.0,0.4604904055595398,0.0,0.0,0,4
252904000000,0.14216358959674835,0.0,0.30566439032554626,0.0,0.0,0,4
252992000000,0.027514349669218063,0.0,0.09492627531290054,0.0,0.0,0,4
253092000000,-0.06198227405548096,0.0,0.09772684425115585,0.0,0.0,0,4
253220000000,-0.08769553154706955,0.0,0.17517858743667603,0.0,0.0,0,4
253312000000,-0.0858086347579956,0.0,0.15705543756484985,0.0,0.0,0,4
253400000000,-0.07406962662935257,0.0,0.1572239249944687,0.0,0.0,0,4
253492000000,-0.047372281551361084,0.0,0.14630483090877533,0.0,0.0,0,4
253592000000,-0.02769135683774948,0.0,0.14945311844348907,0.0,0.0,0,4
253740000000,0.02083161100745201,0.0,0.1979415863752365,0.0,0.0,0,4
253840000000,0.055682387202978134,0.0,0.2302769124507904,0.0,0.0,0,4
253904000000,0.08785614371299744,0.0,0.2572563588619232,0.0,0.0,0,4
254056000000,0.11871937662363052,0.0,0.24403385818004608,0.0,0.0,0,4
254088000000,0.15263919532299042,0.0,0.27719545364379883,0.0,0.0,0,4
254180000000,0.18711090087890625,0.0,0.3005986213684082,0.0,0.0,0,4
254212000000,0.21234503388404846,0.0,0.30842044949531555,0.0,0.0,0,4
254304000000,0.23994527757167816,0.0,0.3054228723049164,0.0,0.0,0,4
254396000000,0.26170477271080017,0.0,0.3233198821544647,0.0,0.0,0,4
254492000000,0.29262909293174744,0.0,0.3101472854614258,0.0,0.0,0,4
254620000000,0.31377267837524414,0.0,0.26150110363960266,0.0,0.0,0,4
254644000000,-0.0,0.0,0.5,0.0,0.0,0,4
254676000000,-0.0,0.0,0.5,0.0,0.0,0,4
254744000000,-0.0,0.0,0.5,0.0,0.0,0,4
254764000000,-0.0,0.0,0.5,0.0,0.0,0,4
254796000000,-0.0,0.0,0.5,0.0,0.0,0,4
254864000000,-0.0,0.0,0.5,0.0,0.0,0,4
254920000000,-0.0,0.0,0.5,0.0,0.0,0,4
254988000000,-0.0,0.0,0.5,0.0,0.0,0,4
255012000000,-0.0,0.0,0.5,0.0,0.0,0,4
255044000000,-0.0,0.0,0.5,0.0,0.0,0,4
255080000000,-0.0,0.0,0.5,0.0,0.0,0,4
255144000000,-0.0,0.0,0.5,0.0,0.0,0,2
258084000000,-0.13316559791564941,0.2666226029396057,0.0,0.0,0.0,0,2
258208000000,-0.029689300805330276,0.5278894901275635,0.0,0.0,0.0,0,2
258300000000,-0.11375657469034195,0.7061211466789246,0.0,0.0,0.0,0,2
258400000000,-0.1552031934261322,0.8560726642608643,0.0,0.0,0.0,0,2
258524000000,-0.17361895740032196,0.9080745577812195,0.0,0.0,0.0,0,2
258584000000,-0.1109527051448822,0.8812353014945984,0.0,0.0,0.0,0,2
258708000000,-0.12866494059562683,0.9169660210609436,0.0,0.0,0.0,0,2
258800000000,-0.08438802510499954,0.939663290977478,0.0,0.0,0.0,0,2
258936000000,-0.10743294656276703,0.9195486307144165,0.0,0.0,0.0,0,2
259024000000,-0.11173813045024872,0.9096304774284363,0.0,0.0,0.0,0,2
259096000000,-0.1103753000497818,0.9088601469993591,0.0,0.0,0.0,0,2
259216000000,-0.1068822517991066,0.9290603399276733,0.0,0.0,0.0,0,2
259244000000,-0.10989133268594742,0.9067920446395874,0.0,0.0,0.0,0,2
259344000000,-0.12339864671230316,0.9069947004318237,0.0,0.0,0.0,0,2
259436000000,-0.2562389075756073,0.9962253570556641,0.0,0.0,0.0,0,2
